"제공대상","제목","내용","게시시작시간","게시종료시간"
국문,"2024년 코밋 고객만족도 조사",서울교통공사에서 코밋(COMET: Community of Metros) 고객만족도 조사를 실시합니다. 서울지하철(1~8호선) 서비스에 대한 여러분의 생각을 알려주세요! 본 조사는 서비스 만족도에 대하여 세계 지하철 운영기관에서 동시에 측정됩니다.조사 결과는 기관 간 서비스 수준을 비교하고 배우며 향후 더 나은 서비스를 제공하는 데에 활용됩니다.,"2024-04-26 00:00","2024-04-30 00:00"
국문,기후동행카드 충전 신용결제 안내,"○ 시 행 일 : 2024.4.27.(토) 영업개시부터○ 충 전 처 : 서울교통공사 1~8호선 역사 내 일부 발매기○ 결제범위 : 기후동행카드 충전금액(62,000원/65,000원)○ 대상카드 : 국내 9개 카드사 신용 및 체크카드(신한, 국민, 현대, 하나, 우리, 롯데, 비씨, 농협, 삼성)※ 해외발급 카드 등 일부 카드의 경우 카드사 정책에 따라 사용이 제한될 수 있습니다.※ 기타 자세한 사항은 티머니 고객센터(☎1644-0088)에 문의하시거나 티머니 카드&페이 홈페이지를 참고하시기 바랍니다.","2024-04-26 00:00","2024-05-05 00:00"
국문,특정장애인단체 시위 사전안내,"서울교통공사에서 알려드립니다.오늘 08시부터 4호선에서「특정장애인단체」의 시위가 예정되어 있습니다. 이로 인해 시위가 발생한 해당 구간 열차 운행이 상당 시간 지연될 수 있으며, 상황에 따라 해당 역을 무정차 통과할 예정이오니, 이 점 참고하여 열차를 이용해 주시기 바랍니다. 04-24 07:09:46","2024-04-24 07:09","2024-04-24 08:09"
국문,특정 장애인단체 시위 안내,"서울교통공사에서 알려드립니다.현재 4호선에서 「특정장애인단체」의 시위가 진행되고 있습니다.이로 인해 4호선 열차운행이 상당시간 지연될 수 있으며, 상황에 따라 해당 역을 무정차 통과할 예정이오니, 이점 참고하여 열차를 이용해 주시기 바랍니다. 서울교통공사는 열차운행이 신속히 정상화될 수 있도록 최선을 다하겠습니다. 04-20 08:15:40","2024-04-20 08:15","2024-04-20 09:15"
국문,특정장애인단체 불법시위 무정차통과 종료 안내,서울교통공사에서 알려드립니다.현재 「특정장애인단체」의 열차 운행방해 불법시위로 인한 4호선 동대문 방면 열차의 혜화역 무정차 통과는 종료되었습니다. 「특정장애인단체」의 시위로 인한 열차 운행이 신속히 정상화 될 수 있도록 최선을 다하겠습니다. 04-19 22:07:16,"2024-04-19 22:07","2024-04-19 23:07"
국문,특정장애인단체 불법시위 무정차통과 안내,서울교통공사에서 알려드립니다.현재 「특정장애인단체」의 열차운행 방해 시위로 인해 4호선 동대문 방면 열차는 혜화역을 무정차 통과하고 있습니다. 혜화역을 이용하실 고객께서는 인근 역에서 하차하여 다른 교통편을 이용하여 주시기 바랍니다. 「특정장애인단체」의 불법시위로 인한 열차 운행이 신속히 정상화될 수 있도록 최선을 다하겠습니다.  04-19 21:05:45,"2024-04-19 21:05","2024-04-19 22:05"
국문,특정 장애인단체 시위 안내,"서울교통공사에서 알려드립니다.현재 4호선에서 「특정장애인단체」의 시위가 진행되고 있습니다.이로 인해 4호선 열차운행이 상당시간 지연될 수 있으며, 상황에 따라 해당 역을 무정차 통과할 예정이오니, 이점 참고하여 열차를 이용해 주시기 바랍니다. 서울교통공사는 열차운행이 신속히 정상화될 수 있도록 최선을 다하겠습니다. 04-19 19:55:32","2024-04-19 19:55","2024-04-19 20:55"
국문,특정장애인단체 시위 사전안내,"서울교통공사에서 알려드립니다.오늘 08시부터 4호선에서「특정장애인단체」의 시위가 예정되어 있습니다. 이로 인해 시위가 발생한 해당 구간 열차 운행이 상당 시간 지연될 수 있으며, 상황에 따라 해당 역을 무정차 통과할 예정이오니, 이 점 참고하여 열차를 이용해 주시기 바랍니다. 04-20 07:00:00","2024-04-20 07:00","2024-04-20 08:00"
국문,특정장애인단체 시위 사전안내,"서울교통공사에서 알려드립니다.오늘 08시부터 4호선에서「특정장애인단체」의 시위가 예정되어 있습니다. 이로 인해 시위가 발생한 해당 구간 열차 운행이 상당 시간 지연될 수 있으며, 상황에 따라 해당 역을 무정차 통과할 예정이오니, 이 점 참고하여 열차를 이용해 주시기 바랍니다.  04-19 06:58:10","2024-04-19 06:58","2024-04-19 09:58"
국문,"2024년 코밋 고객만족도 조사",서울교통공사에서 코밋(COMET: Community of Metros) 고객만족도 조사를 실시합니다. 서울지하철(1~8호선) 서비스에 대한 여러분의 생각을 알려주세요! 본 조사는 서비스 만족도에 대하여 세계 지하철 운영기관에서 동시에 측정됩니다. 조사 결과는 기관 간 서비스 수준을 비교하고 배우며 향후 더 나은 서비스를 제공하는 데에 활용됩니다.자세한 사항은 아래 공사 홈페이지 공지사항을 참고 부탁드립니다.,"2024-04-22 00:00","2024-04-26 00:00"
국문,장애인의 날 퀴즈 맞히기 이벤트 알림,"○ 행 사 명: 장애인의 날 퀴즈 맞히기 이벤트정부는 장애인에 대한 국민의 이해를 깊게 하고 장애인의 재활 의욕을 높이기 위해서 매년 □□월 □□일을 '장애인의 날'로 지정하고 있습니다. □□, □□에 들어갈 말(숫자)은 무엇일까요?※ 예시 : 00월 00일, 0000(숫자 4자리 또는 3자리)○ 응모기간: 2024.4.12.(금)~4.19.(금), 7일간○ 응모대상: 또타지하철 앱 사용자 누구나○ 추 첨 일: 2024.4.23.(화)○ 당첨인원: 15명(전산추첨으로 경품은 랜덤 추첨)○ 경품내용: 또타인형 15개○ 응모방법: 또타지하철 앱 시민참여 ⇒ 시민문화초청에서 응모","2024-04-12 00:00","2024-04-20 00:00"
국문,특정 장애인단체 시위 사전안내,"서울교통공사에서 알려드립니다.08시부터 2호선에서「특정장애인단체」의 시위가 예정되어 있습니다. 이로 인해 시위가 발생한 해당 구간 열차 운행이 상당 시간 지연될 수 있으며, 상황에 따라 해당 역을 무정차 통과할 예정이오니, 이 점 참고하여 열차를 이용해 주시기 바랍니다. 04-08 07:35:46","2024-04-08 07:35","2024-04-08 08:35"
국문,"2024 서울 도심 봄꽃축제 안내","서울교통공사에서 알려드립니다.오늘 여의도, 석촌호수 일대에서 봄꽃축제가 예정되어 있습니다.여의나루, 잠실역은 매우 혼잡이 예상되니 고객님께서는 가급적 인근 역을 이용하여 주시기 바랍니다.감사합니다. 04-07 09:04:00","2024-04-07 09:04","2024-04-07 17:04"
국문,"2024 서울 도심 봄꽃축제 안내","서울교통공사에서 알려드립니다.4월 6일~4월 7일 여의도, 석촌호수 일대에서 봄꽃축제가 예정되어 있습니다.여의나루, 잠실역은 매우 혼잡이 예상되니 고객님께서는 가급적 인근 역을 이용하여 주시기 바랍니다.감사합니다. 04-06 09:00:00","2024-04-06 09:00","2024-04-06 21:00"
국문,또타지하철 앱 실시간열차 편성번호 제공 중단 안내,또타지하철 앱 실시간열차의 편성번호 정확도 개선을 위해 편성번호 제공서비스가 중단됨을 안내드립니다.중단노선: 1~8호선 전 구간중단대상: 2024. 4. 1. 이후 업데이트 버전* 향후 이전 버전 중단될 수 있음민원 신고 등 다른 앱 서비스는 정상적으로 이용 가능하오니 앱 이용에 참고하시길 바랍니다.,"2024-04-01 00:00","2024-04-30 23:50"
국문,"또타지하철 앱 GTX-A, 경강선(성남역) 노선도 반영 일정 안내","또타지하철 앱 GTX-A, 경강선(성남역)의 노선도 반영 일정에 대해 안내드립니다.대상 노선: GTX-A, 경강선(성남역)개통일: 2024년 3월 30일 토요일노선도 반영 예정일: 2024년 4월 첫째 주 예정노선도 반영이 지연되어 죄송합니다.빠른 시일 내 반영할 수 있도록 노력하겠습니다.","2024-03-29 18:00","2024-04-06 00:00"
국문,서울 시내버스 파업 종료에 따른 열차 정상운행 안내,서울교통공사에서 알려드립니다.버스업계 파업이 오늘 15시부로 종료됨이 따라 연장운행이 취소되었습니다.열차는 평일 시간표 기준 01시까지 정상 운행합니다.고객 여러분께서는 이점 참고하여 열차를 이용해 주시기 바랍니다. 감사합니다.  03-28 15:39:35,"2024-03-28 15:39","2024-03-28 16:39"
국문,서울시내버스 파업 관련 연장운행 안내,서울교통공사에서 알려드립니다.버스업계 파업에 따라 금일부터 종착역 기준 02시까지 열차 운행을 연장합니다.아울러 이용 고객이 증가하여 지하철 역사 및 열차 내부가 혼잡이 예상되오니고객 여러분께서는 안전에 유의하여 질서있게 열차를 이용해 주시기 바랍니다.감사합니다. 03-28 06:51:31,"2024-03-28 06:51","2024-03-28 07:51"
국문,특정 장애인단체 시위 안내,"서울교통공사에서 알려드립니다.현재 2호선에서 「특정장애인단체」의 시위가 진행되고 있습니다.이로 인해 2호선 열차운행이 상당시간 지연될 수 있으며, 상황에 따라 해당 역을 무정차 통과할 예정이오니, 이점 참고하여 열차를 이용해 주시기 바랍니다. 서울교통공사는 열차운행이 신속히 정상화될 수 있도록 최선을 다하겠습니다. 03-27 07:49:50","2024-03-27 07:49","2024-03-27 08:49"
국문,특정장애인단체 시위 사전안내,"서울교통공사에서 알려드립니다.08시부터 2호선에서「특정장애인단체」의 시위가 예정되어 있습니다. 이로 인해 시위가 발생한 해당 구간 열차 운행이 상당 시간 지연될 수 있으며, 상황에 따라 해당 역을 무정차 통과할 예정이오니, 이 점 참고하여 열차를 이용해 주시기 바랍니다. 03-27 06:01:53","2024-03-27 06:01","2024-03-27 07:01"
국문,특정 장애인단체 시위 사전안내,"서울교통공사에서 알려드립니다내일 08시부터 2호선에서 「특정장애인단체」의  시위가 예정되어 있습니다.이로 인해 시위가 발생한 해당 구간 열차운행이 상당 시간 지연될 수 있으며, 상황에 따라 해당 역을 무정차 통과할 예정이오니, 이점 참고하여 열차를 이용해 주시기 바랍니다.  03-26 18:00:00","2024-03-26 18:00","2024-03-26 19:00"
국문,특정 장애인단체 시위 종료,서울교통공사에서 알려드립니다.4호선에서 진행된 「특정장애인단체」 의 지하철 타기 시위는 종료되었습니다.「특정장애인단체」의 시위로 열차 이용에 불편을 드려 대단히 죄송합니다. 03-26 09:20:22,"2024-03-26 09:20","2024-03-26 10:20"
국문,특정 장애인단체 시위 안내,"서울교통공사에서 알려드립니다.현재 4호선에서 「특정장애인단체」의 시위가 진행되고 있습니다.이로 인해 4호선 열차운행이 상당시간 지연될 수 있으며, 상황에 따라 해당 역을 무정차 통과할 예정이오니, 이점 참고하여 열차를 이용해 주시기 바랍니다. 서울교통공사는 열차운행이 신속히 정상화될 수 있도록 최선을 다하겠습니다. 03-26 08:42:43","2024-03-26 08:42","2024-03-26 09:42"
국문,특정 장애인단체 시위 사전안내,"서울교통공사에서 알려드립니다금일 08시부터 4호선에서 「특정장애인단체」의  시위가 예정되어 있습니다.이로 인해 시위가 발생한 해당 구간 열차운행이 상당 시간 지연될 수 있으며, 상황에 따라 해당 역을 무정차 통과할 예정이오니, 이점 참고하여 열차를 이용해 주시기 바랍니다. 03-26 07:29:54","2024-03-26 07:30","2024-03-26 08:30"
국문,"3호선 오금역 차량고장 조치완료","3호선 오금역 차량고장은 조치 완료되어 열차 정상 운행 중 입니다. 03-25 09:29:09","2024-03-25 09:29","2024-03-25 10:29"
국문,"3호선(일산선) 코레일 구간 전차선 정전 임시 조치완료","3호선(일산선) 전차선 정전은 임시 조치완료되었으나 그 여파로 열차가 순연운행 중이오니 열차 이용에 참고해주시기 바랍니다. 03-15 10:38:30","2024-03-15 10:38","2024-03-15 11:38"
국문,"3호선(일산선) 코레일 구간 전차선 정전","3호선(일산선) 전차선 정전으로 현재 대화역에서 지축역까지는 열차 상선으로 단선 운행 중이며, 구파발역에서 오금역까지는 구파발역에서 회차 운행 중이오니 열차 이용에 참고해주시기 바랍니다.열차운행이 신속히 정상화될 수 있도록 최선을 다하겠습니다. 03-15 06:21:43","2024-03-15 06:21","2024-03-15 07:21"
국문,"3호선(일산선) 코레일 구간 전차선 정전","3호선(일산선) 전차선 정전으로 대화~구파발 역 간 상, 하선 열차가 중지 중이며, 현재 구파발역에서 회차 운행 중이오니 열차 이용에 참고해주시기 바랍니다.열차운행이 신속히 정상화될 수 있도록 최선을 다하겠습니다. 03-15 05:36:45","2024-03-15 05:36","2024-03-15 06:36"
국문,또타지하철 열차정보 서비스 일시 중단 안내,"또타지하철 실시간 열차운행정보 관련 장비교체 작업으로 서비스가 일시 중단됨을 알려 드리오니, 앱 이용에 참고하시기 바랍니다. 1. 서비스 중단일시: '24. 3. 11.(월) 14:00 ~ 15:00(1시간) 2. 서비스 중단범위:   1) 또타지하철 앱 내 위치조회 및 실시간 열차운행정보(홈페이지 실시간 열차운행정보 포함)※ 1~4호선에 한하여 일시 중단 3. 서비스 중단사유: 실시간 열차운행정보 관련 장비 교체 작업 앱 이용에 양해부탁드립니다.","2024-03-10 14:00","2024-03-11 15:00"
국문,또타지하철 열차정보 서비스 일시 중단 안내,"또타지하철 실시간 열차운행정보 관련 장비교체 작업으로 서비스가 일시 중단됨을 알려 드리오니,앱 이용에 참고하시기 바랍니다.1. 서비스 중단일시: '24. 3. 6.(수) 13:00 ~ 14:00(1시간)2. 서비스 중단범위:? 1) 또타지하철 앱 내 위치조회 및?실시간 열차운행정보(홈페이지 실시간 열차운행정보 포함)??※ 1~4호선에 한하여 일시 중단3. 서비스 중단사유: 실시간 열차운행정보 관련 장비 교체 작업앱 이용에 양해부탁드립니다.","2024-03-05 18:00","2024-03-06 14:00"
국문,"또타지하철 앱, 별 다섯개로 칭찬해 주세요!","서울교통공사는 시민편의를 위해 노선도, 편의시설, 교통약자 서비스 등 다양한 정보를 제공하는 또타지하철 앱을 서비스하고 있습니다.또타지하철 앱을 유용하게 사용중이시라면 Play 스토어(앱스토어)에 별 다섯개로 칭찬해 주세요! 시민 여러분의 칭찬이 서울교통공사에는 힘이 됩니다.아래 링크를 통해 리뷰를 게시할 수 있습니다.(안드로이드 기준, 아이폰은 앱 스토어 이용)","2024-04-01 09:00","2024-05-31 00:00"
국문,특정 장애인단체 시위 안내,"서울교통공사에서 알려드립니다.현재 1호선에서  「특정장애인단체」의 지하철 타기 시위가 진행되고 있습니다.이로 인해 1호선 열차운행이 상당시간 지연될 수 있으며, 상황에 따라 해당 역을 무정차 통과할 예정이오니, 이점 참고하여 열차를 이용해 주시기 바랍니다. 서울교통공사는 열차운행이 신속히 정상화될 수 있도록 최선을 다하겠습니다. 02-29 08:45:57","2024-02-29 08:45","2024-02-29 09:45"
국문,특정 장애인단체 시위 사전안내,"서울교통공사에서 알려드립니다금일 08시부터 1호선에서 「특정장애인단체」의  시위가 예정되어 있습니다.이로 인해 시위가 발생한 해당 구간 열차운행이 상당시간 지연될 수 있으며, 상황에 따라 해당 역을 무정차 통과할 예정이오니, 이점 참고하여 열차를 이용해 주시기 바랍니다. 감사합니다. 02-29 06:01:47","2024-02-29 06:01","2024-02-29 07:01"
국문,"9호선 열차운행 시각표 변경 안내","고객님께 알려드립니다.평일 출·퇴근 시간대 혼잡도를 개선하고자 9호선 열차운행 횟수를 증회하여 운행하오니 열차이용에 참고하시기 바랍니다. ?변경일자 : 2024.03.01(금)부터 ?변경내용 : 평일 출·퇴근시간대 운행하는 열차  ※ 증회 운행은 평일 출·퇴근 시간대만 적용되며 열차시각표는 평일, 휴일 모두 변경됩니다.  ※ 변경된 열차 시각표는 서울시메트로9호선 홈페이지(www.metro9.co.kr)공지사항을 참고바랍니다.","2024-02-28 00:00","2024-03-06 00:00"
국문,"1호선(경원선) 동두천~연천역 간 운행 재개 ",서울교통공사에서 알려드립니다.현재 1호선(경원선) 전차선 정전은 조치완료되어 동두천~연천역 간 열차가 정상 운행중입니다 02-24 14:38:21,"2024-02-24 14:38","2024-02-24 15:38"
국문,"1호선(경원선) 동두천~연천역 간 운행 재개 예정",서울교통공사에서 알려드립니다.1호선(경원선) 전차선 정전 여파로 인해 동두천~연천역 간 열차 운행이 중단중이며금일 서울역 상선 연천행 14:41분부터 운행재개 예정입니다복구완료 시 까지 동두천~연천역 간 셔틀버스 운행중입니다.셔틀버스 이용관련 문의는 코레일 고객센터(1544-7788) 또는 해당역 고객지원실로 문의부탁드립니다. 02-24 12:07:08,"2024-02-24 12:07","2024-02-24 13:07"
국문,"5호선 강설로 인한 열차 지연 안내",강설로 인한 기지 출고 장애로 5호선 전구간 열차 운행이 지연되고 있습니다.열차 지연으로 이용에 불편을 드려 대단히 죄송합니다. 02-22 07:08:50,"2024-02-22 07:08","2024-02-22 08:08"
국문,특정 장애인단체 시위 사전안내,"서울교통공사에서 알려드립니다.오늘 08시부터 4호선에서「특정장애인단체」의 시위가 예정되어 있습니다. 이로 인해 시위가 발생한 해당 구간 열차 운행이 상당 시간 지연될 수 있으며,상황에 따라 해당 역을 무정차 통과할 예정이오니, 이 점 참고하여 열차를 이용해 주시기 바랍니다. 02-20 06:39:56","2024-02-20 06:39","2024-02-20 07:39"
국문,"1호선(경원선) 동두천~연천역 간 운행중단 알림",서울교통공사에서 알려드립니다.1호선(경원선) 전차선 정전 여파로 인해 동두천~연천역 간 열차 운행이 중단되었습니다.복구완료 시 까지 동두천~연천역 간 셔틀버스 운행중입니다.셔틀버스 이용관련 문의는 코레일 고객센터(1544-7788) 또는 해당역 고객지원실로 문의부탁드립니다. 02-17 09:59:11,"2024-02-17 09:59","2024-02-17 14:59"
국문,"1호선 연천~소요산구간 임시 운휴 및 전동열차 운행 지연 안내","한국철도공사에서 알려드립니다.1호선 소요산~연천 전차선 단전 여파로 인해 소요산~연천역 구간 열차운행이 임시 운휴되었으며,연천 및 인천방면 전동열차 운행이 지연되고 있습니다.동두천~연천간 셔틀버스 운행하고 있습니다.(셔틀버스 관련은 해당역에 문의바랍니다.)해당 내용 열차 이용에 참고하시길 바랍니다.관련문의는 한국철도공사 콜센터(☎1544-7788)로 문의바랍니다.","2024-02-16 18:00","2024-02-16 20:00"
국문,"2025년 예산편성을 위한 2024년 주민참여예산 제안사업 공모","2025년 예산편성을 위한 2024년 주민참여예산 제안사업을 공모합니다. ㅇ 접수기간 : ~'24.6.30.(일)ㅇ 제안대상 : 서울지하철(1~8호선)을 이용하며 느낀 불편사항을 개선하거나, 주민 편익 증진을 위하여 필요한 사업ㅇ 접수방법 : 온라인 접수(서울교통공사 홈페이지) 및 우편접수많은 참여 부탁드립니다.","2024-02-19 00:00","2024-02-26 00:00"
국문,특정 장애인단체 시위 사전안내,"서울교통공사에서 알려드립니다.오늘 08시부터 4호선에서「특정장애인단체」의 시위가 예정되어 있습니다. 이로 인해 시위가 발생한 해당 구간 열차 운행이 상당 시간 지연될 수 있으며,상황에 따라 해당 역을 무정차 통과할 예정이오니, 이 점 참고하여 열차를 이용해 주시기 바랍니다.  02-16 06:59:44","2024-02-16 06:59","2024-02-16 07:59"
국문,"2024년 설 연휴 열차운행 심야 연장 및 시간 조정 알림",설 명절을 맞아 귀성·귀경 편의 제공 및 안전한 승객 수송을 위하여 2월 10일(토)부터 11일(일)까지 2일간 서울교통공사 호선 전 구간에서 종착역 기준 다음 날 2시까지 운행을 시행하오니 많은 이용 바랍니다.○ 주간 감축 운행  - 시행기간: 2024. 2. 9.(금) ~ 2. 12.(월) / 4일간  - 조정대상: 서울교통공사 2~8호선  - 감축횟수: 182회/일 감축 운행○ 심야 연장 운행  - 연장기간: 2024. 2. 10.(토) ~ 2. 11.(일) / 2일간  - 운행시간: 익일 02시까지(도착역 기준)  - 운행횟수: 89회※ 설 연휴기간 열차운행계획 조정사항은 또타지하철 앱 열차시각표에 반영되지 않습니다.아래 홈페이지 붙임 파일(열차시각표)을 확인하시기 바랍니다.,"2024-02-08 17:00","2024-02-12 23:50"
국문,"2호선 성수역 선로전환기 장애 조치완료",서울교통공사에서 알려드립니다.2호선 성수역 선로전환기 장애는 현재 복구되었으며 그 여파로 일부열차 순연되고 있습니다.열차 이용에 참고하시기 바랍니다. 02-08 07:09:40,"2024-02-08 07:09","2024-02-08 08:09"
국문,"2호선 성수역 선로전환기 장애",서울교통공사에서 알려드립니다.2호선 성수역 선로전환기 장애로 인하여 열차 지연 운행되고 있습니다.열차 이용에 참고하시기 바랍니다. 02-08 06:50:11,"2024-02-08 06:50","2024-02-08 07:50"
국문,특정 장애인단체 시위 사전안내,"서울교통공사에서 알려드립니다.오늘 08시부터 1호선에서「특정장애인단체」의 시위가 예정되어 있습니다. 이로 인해 시위가 발생한 해당 구간 열차 운행이 상당 시간 지연될 수 있으며,상황에 따라 해당 역을 무정차 통과할 예정이오니, 이 점 참고하여 열차를 이용해 주시기 바랍니다. 02-08 06:36:58","2024-02-08 06:36","2024-02-08 07:36"
국문,특정 장애인단체 시위 사전안내,"서울교통공사에서 알려드립니다.오늘 08시부터 1호선에서「특정장애인단체」의 시위가 예정되어 있습니다. 이로 인해 시위가 발생한 해당 구간 열차 운행이 상당 시간 지연될 수 있으며,상황에 따라 해당 역을 무정차 통과할 예정이오니, 이 점 참고하여 열차를 이용해 주시기 바랍니다.  02-06 06:00:59","2024-02-06 06:01","2024-02-06 07:01"
국문,특정 장애인단체 시위 사전안내,"서울교통공사에서 알려드립니다.오늘 08시부터 4호선에서「특정장애인단체」의 시위가 예정되어 있습니다. 이로 인해 시위가 발생한 해당 구간 열차 운행이 상당 시간 지연될 수 있으며,상황에 따라 해당 역을 무정차 통과할 예정이오니, 이 점 참고하여 열차를 이용해 주시기 바랍니다. 01-31 07:16:06","2024-01-31 07:16","2024-01-31 08:16"
국문,특정 장애인단체 시위 사전안내,"서울교통공사에서 알려드립니다.오늘 08시부터 4호선에서「특정장애인단체」의 시위가 예정되어 있습니다. 이로 인해 시위가 발생한 해당 구간 열차 운행이 상당 시간 지연될 수 있으며,상황에 따라 해당 역을 무정차 통과할 예정이오니, 이 점 참고하여 열차를 이용해 주시기 바랍니다. 01-23 07:01:03","2024-01-23 07:01","2024-01-23 08:01"
국문,특정 장애인단체 시위 사전안내,"서울교통공사에서 알려드립니다.오늘 08시부터 4호선에서「특정장애인단체」의 시위가 예정되어 있습니다. 이로 인해 시위가 발생한 해당 구간 열차 운행이 상당 시간 지연될 수 있으며,상황에 따라 해당 역을 무정차 통과할 예정이오니, 이 점 참고하여 열차를 이용해 주시기 바랍니다. 01-22 06:55:15","2024-01-22 06:55","2024-01-22 08:55"
국문,기후동행카드 시범사업 시행 안내,"○ 시 행 일 : 2024.1.27.(토) 영업개시부터○ 이용범위 : 서울 권역 내 지하철, 버스 및 따릉이 무제한 이용○ 이용가격 - 62,000원권(지하철, 버스) - 65,000원권(지하철, 버스, 따릉이)○ 기타 세부 이용범위, 환불절차 등은 티머니 카드&페이 홈페이지를 참조하시기 바랍니다.","2024-01-22 00:00","2024-02-08 23:50"
국문,특정 장애인단체 시위 사전안내,"서울교통공사에서 알려드립니다.오늘 08시부터 4호선에서「특정장애인단체」의 시위가 예정되어 있습니다. 이로 인해 시위가 발생한 해당 구간 열차 운행이 상당 시간 지연될 수 있으며,상황에 따라 해당 역을 무정차 통과할 예정이오니, 이 점 참고하여 열차를 이용해 주시기 바랍니다. 01-19 06:35:08","2024-01-19 06:35","2024-01-19 07:35"
국문,특정 장애인단체 시위 사전안내,"서울교통공사에서 알려드립니다.오늘 08시부터 4호선에서「특정장애인단체」의 시위가 예정되어 있습니다. 이로 인해 시위가 발생한 해당 구간 열차 운행이 상당 시간 지연될 수 있으며,상황에 따라 해당 역을 무정차 통과할 예정이오니, 이 점 참고하여 열차를 이용해 주시기 바랍니다.  01-16 06:40:24","2024-01-16 06:40","2024-01-16 07:40"
국문,특정 장애인단체 시위 사전안내,"서울교통공사에서 알려드립니다.오늘 08시부터 4호선에서「특정장애인단체」의 시위가 예정되어 있습니다. 이로 인해 시위가 발생한 해당 구간 열차 운행이 상당 시간 지연될 수 있으며,상황에 따라 해당 역을 무정차 통과할 예정이오니, 이 점 참고하여 열차를 이용해 주시기 바랍니다. 01-15 06:47:32","2024-01-15 06:47","2024-01-15 07:47"
국문,특정 장애인단체 시위 사전안내,"서울교통공사에서 알려드립니다.오늘 08시부터 4호선에서「특정장애인단체」의 시위가 예정되어 있습니다. 이로 인해 시위가 발생한 해당 구간 열차 운행이 상당 시간 지연될 수 있으며,상황에 따라 해당 역을 무정차 통과할 예정이오니, 이 점 참고하여 열차를 이용해 주시기 바랍니다. 01-11 07:39:36","2024-01-11 07:39","2024-01-11 08:39"
국문,특정 장애인단체 시위 사전안내,"서울교통공사에서 알려드립니다.오늘 08시부터 4호선에서「특정장애인단체」의 시위가 예정되어 있습니다. 이로 인해 시위가 발생한 해당 구간 열차 운행이 상당 시간 지연될 수 있으며,상황에 따라 해당 역을 무정차 통과할 예정이오니, 이 점 참고하여 열차를 이용해 주시기 바랍니다. 01-10 06:36:42","2024-01-10 06:36","2024-01-10 09:36"
외국어,Information for foreigners,"If you visit Myeongdong Station, you can face each other through the display and have a smooth simultaneous conversation without language barriers in your own language. ","2024-01-08 06:00","2024-05-08 00:00"
국문,특정장애인단체 시위 사전안내,"서울교통공사에서 알려드립니다.오늘 08시부터 4호선에서「특정장애인단체」의 시위가 예정되어 있습니다. 이로 인해 시위가 발생한 해당 구간 열차 운행이 상당 시간 지연될 수 있으며,상황에 따라 해당 역을 무정차 통과할 예정이오니, 이 점 참고하여 열차를 이용해 주시기 바랍니다. 01-04 06:21:54","2024-01-04 06:21","2024-01-04 07:21"
국문,특정장애인단체 시위 사전안내,"서울교통공사에서 알려드립니다.오늘 08시부터 4호선에서「특정장애인단체」의 시위가 예정되어 있습니다. 이로 인해 시위가 발생한 해당 구간 열차 운행이 상당 시간 지연될 수 있으며,상황에 따라 해당 역을 무정차 통과할 예정이오니, 이 점 참고하여 열차를 이용해 주시기 바랍니다. 01-03 07:29:32","2024-01-03 07:29","2024-01-03 08:29"
국문,특정장애인단체 시위 사전안내,"서울교통공사에서 알려드립니다.오늘 08시부터 4호선에서「특정장애인단체」의 시위가 예정되어 있습니다. 이로 인해 시위가 발생한 해당 구간 열차 운행이 상당 시간 지연될 수 있으며,상황에 따라 해당 역을 무정차 통과할 예정이오니, 이 점 참고하여 열차를 이용해 주시기 바랍니다. 01-02 08:11:48","2024-01-02 08:11","2024-01-02 09:11"
국문,"2023 제야의종 타종행사 무정차통과 종료 안내",서울교통공사에서 알려드립니다.2023 제야의종 타종행사로 인한 1호선 종각역 무정차통과는금일 01시부로 종료되어 열차 정상운행합니다.열차 이용에 참고하시기 바랍니다. 01-01 00:59:10,"2024-01-01 00:59","2024-01-01 01:59"
국문,"2023 제야의종 타종행사 무정차통과 안내",서울교통공사에서 알려드립니다.2023 제야의종 타종행사가 열리는 1호선 종각역 역사가 혼잡한 관계로금일 23시부터 익일 01시까지 무정차 통과하오니종각역을 이용하실 고객께서는 인근 종로3가역이나 을지로입구역을 이용하시기 바랍니다.감사합니다. 12-31 22:49:28,"2023-12-31 22:49","2023-12-31 23:49"
국문,"2023 제야의종 타종행사 안내","서울교통공사에서 알려드립니다.12월 31일 보신각과 광화문에서 2023 제야의종 타종행사가 예정되어 있습니다.종각역은 매우 혼잡하니 고객님께서는 가급적 종로3가, 을지로입구 등 인근역을 이용하여 주시기 바랍니다.종각역은 안전을 위하여 무정차 통과할 수 있습니다.감사합니다. 12-31 08:00:00","2023-12-31 08:00","2023-12-31 09:00"
국문,특정장애인단체 시위 사전안내,"서울교통공사에서 알려드립니다.오늘 08시부터 4호선에서「특정장애인단체」의 시위가 예정되어 있습니다. 이로 인해 시위가 발생한 해당 구간 열차 운행이 상당 시간 지연될 수 있으며,상황에 따라 해당 역을 무정차 통과할 예정이오니, 이 점 참고하여 열차를 이용해 주시기 바랍니다. 12-26 06:22:24","2023-12-26 06:22","2023-12-26 07:22"
